Procedure Summary

Plate Type	384 WELL PLATE
Shake	Shake: Medium for 0:03
Start Kinetic	Start Kinetic [Run 0:06:00, Interval 0:00:07]
Read	Read:  (A) 550
End Kinetic	End Kinetic
Read	Read:  (A) Spectrum [500nm to 650nm by 1]

Layout
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24
A	SPL1	SPL8	SPL15																						Well ID
																									Name
B	SPL2	SPL9	SPL16																						Well ID
																									Name
C	SPL3	SPL10	SPL17																						Well ID
																									Name
D	SPL4	SPL11	SPL18																						Well ID
																									Name
E	SPL5	SPL12	SPL19																						Well ID
																									Name
F	SPL6	SPL13	SPL20																						Well ID
																									Name
G	SPL7	SPL14	SPL21																						Well ID
																									Name
H																									Well ID
																									Name
I																									Well ID
																									Name
J																									Well ID
																									Name
K																									Well ID
																									Name
L																									Well ID
																									Name
M																									Well ID
																									Name
N																									Well ID
																									Name
O																									Well ID
																									Name
P																									Well ID
																									Name

Read 1:550

Kinetic read	A1	A2	A3	B1	B2	B3	C1	C2	C3	D1	D2	D3	E1	E2	E3	F1	F2	F3	G1	G2	G3
556	0,348	0,368	0,320	0,373	0,419	0,351	0,298	0,317	0,278	0,332	0,448	0,567	0,338	0,345	0,281	0,388	0,445	0,437	0,349	0,350	0,299
557	0,345	0,368	0,319	0,367	0,416	0,345	0,295	0,317	0,276	0,324	0,447	0,563	0,334	0,345	0,280	0,381	0,444	0,432	0,345	0,351	0,297
558	0,343	0,368	0,318	0,362	0,415	0,341	0,293	0,317	0,275	0,319	0,446	0,561	0,331	0,345	0,279	0,376	0,443	0,429	0,342	0,350	0,295
559	0,342	0,368	0,317	0,360	0,414	0,338	0,292	0,317	0,275	0,317	0,446	0,559	0,330	0,345	0,278	0,373	0,442	0,427	0,341	0,350	0,294
560	0,341	0,368	0,316	0,357	0,413	0,336	0,290	0,317	0,274	0,314	0,445	0,557	0,328	0,345	0,278	0,370	0,441	0,425	0,339	0,350	0,293
561	0,340	0,368	0,316	0,355	0,412	0,334	0,289	0,317	0,274	0,311	0,445	0,556	0,327	0,345	0,278	0,368	0,441	0,424	0,338	0,350	0,292
562	0,339	0,367	0,315	0,353	0,411	0,332	0,289	0,317	0,273	0,309	0,445	0,553	0,326	0,344	0,277	0,365	0,440	0,422	0,337	0,350	0,292
563	0,339	0,368	0,315	0,352	0,412	0,331	0,288	0,317	0,273	0,308	0,445	0,553	0,325	0,344	0,277	0,364	0,440	0,421	0,336	0,349	0,291
564	0,338	0,368	0,315	0,351	0,412	0,330	0,288	0,317	0,273	0,307	0,444	0,553	0,324	0,344	0,277	0,363	0,440	0,420	0,335	0,349	0,291
565	0,338	0,368	0,315	0,352	0,411	0,330	0,288	0,317	0,273	0,307	0,444	0,554	0,324	0,344	0,278	0,364	0,440	0,422	0,335	0,349	0,291
566	0,338	0,368	0,316	0,352	0,411	0,331	0,288	0,317	0,273	0,307	0,445	0,555	0,324	0,345	0,277	0,364	0,440	0,422	0,335	0,350	0,291
567	0,337	0,367	0,315	0,350	0,410	0,329	0,287	0,317	0,272	0,306	0,444	0,552	0,323	0,344	0,276	0,361	0,439	0,419	0,335	0,349	0,290
568	0,337	0,367	0,314	0,347	0,410	0,326	0,286	0,317	0,272	0,303	0,444	0,548	0,323	0,343	0,275	0,359	0,439	0,416	0,334	0,348	0,290
569	0,336	0,367	0,314	0,346	0,410	0,326	0,286	0,317	0,272	0,302	0,444	0,547	0,322	0,343	0,276	0,358	0,439	0,416	0,334	0,348	0,290
570	0,336	0,368	0,314	0,347	0,411	0,326	0,286	0,317	0,272	0,303	0,444	0,548	0,322	0,343	0,276	0,359	0,439	0,417	0,333	0,348	0,290
571	0,336	0,368	0,314	0,348	0,411	0,327	0,286	0,317	0,272	0,304	0,444	0,550	0,322	0,343	0,276	0,360	0,439	0,418	0,333	0,348	0,290
